Match id,Batting position,Ground,Venue City,Pitch,Opposite team,Weather,Avg in last 5 matches,Avg in last 5 matches,Fours in last five matches,Fours in last five matches,sixes In last five matches,sixes In last five matches,Score in last five matches,Score in last five matches,score,score
ODI # 4080,7,St George's Park,Gqeberha,grass,v South Africa,sunny,7.75,"above five, less than thirty nine",0,zero,0,zero,31,"above twenty, less than fifty nine",18,below twenty
ODI # 4068,7,Sheikh Zayed Stadium,Abu dhabi,grass,v New Zealand,hot,7.75,"above five, less than thirty nine",0,zero,0,zero,31,"above twenty, less than fifty nine",2,below twenty
ODI # 4066,7,Sheikh Zayed Stadium,Abu dhabi,grass,v New Zealand,hot,19.5,"above five, less than thirty nine",5,"above five , less than eight ",0,zero,78,"above sxity , less than eight nine ",7,below twenty
ODI # 4044,7,Dubai International Cricket Stadium,Dubai,grass,v India,hot,23.3,"above five, less than thirty nine",5,"above five , less than eight ",1,"above zero, less than two",70,"above sxity , less than eight nine ",10,below twenty
ODI # 4040,7,Dubai International Cricket Stadium,Dubai,grass,v India,hot,38,"above five, less than thirty nine",8,"above five , less than eight ",2,"above zero, less than two",114,"above sxity , less than eight nine ",8,below twenty
ODI # 3924,8,Dubai International Cricket Stadium,Dubai,dry,v Sri Lanka,hot,15,"above five, less than thirty nine",2,"above two, less than five",3,"above three, less than nine",75,"above sxity , less than eight nine ",52,above fifty and less than hunderd
ODI # 3878,8, Edgbaston,Birmingham,grass,vIndia,cloudy,22,"above five, less than thirty nine",6,"above five , less than eight ",1,"above zero, less than two",88,"above sxity , less than eight nine ",14,below twenty
ODI # 3957,7,Basin Reserve,wellington,grass,v New Zealand,sunny,46,"above sxity , less than fifty nine ",8,"above five , less than eight ",2,"above zero, less than two",138,"above sxity , less than eight nine ",54,above fifty and less than hunderd
ODI # 3949,7,University Oval,Dunedin,grass,v New Zealand,sunny,48.6,"above sxity , less than fifty nine ",9,above nine and less than twelve,2,"above zero, less than two",146,"above sxity , less than eight nine ",1,below twenty
ODI # 3947,7,Saxton Oval,Nelson,grass,v New Zealand,sunny,31.3,"above five, less than thirty nine",6,"above five , less than eight ",1,"above zero, less than two",94,"above sxity , less than eight nine ",52,above fifty and less than hunderd
ODI # 3946,7,Basin Reserve,wellington,grass,v New Zealand,sunny,31.3,"above five, less than thirty nine",5,"above five , less than eight ",4,"above three, less than nine",94,"above sxity , less than eight nine ",28,above twenty less than fourty 
ODI # 4148,10,Trent Bridge,Nottingham,grass,vEngland,cloudy,19,"above five, less than thirty nine",2,"above two, less than five",1,"above zero, less than two",57,"above twenty, less than fifty nine",10,below twenty
ODI # 4286,6,The Wanderers Stadium,Johannesburg,grass,v South Africa,sunny,22,"above five, less than thirty nine",4,"above two, less than five",1,"above zero, less than two",66,"above sxity , less than eight nine ",13,below twenty
